Species,Family,BE,Letzter_Nachweis,Deutscher_Name,Reference
Euheptaulacus sus,Scarabaeidae,0,,,Rote Liste und Gesamtartenliste der Blatthornkäfer (Coleoptera: Scarabaeoidea) von Berlin
Euheptaulacus villosus,Scarabaeidae,0,,,Rote Liste und Gesamtartenliste der Blatthornkäfer (Coleoptera: Scarabaeoidea) von Berlin
Gnorimus nobilis,Scarabaeidae,0,,Edelscharrkäfer,Rote Liste und Gesamtartenliste der Blatthornkäfer (Coleoptera: Scarabaeoidea) von Berlin
Heptaulacus testudinarius,Scarabaeidae,0,,,Rote Liste und Gesamtartenliste der Blatthornkäfer (Coleoptera: Scarabaeoidea) von Berlin
Ochodaeus chrysomeloides,Ochodaeidae,0,,,Rote Liste und Gesamtartenliste der Blatthornkäfer (Coleoptera: Scarabaeoidea) von Berlin
Onthophagus illyricus,Scarabaeidae,0,,,Rote Liste und Gesamtartenliste der Blatthornkäfer (Coleoptera: Scarabaeoidea) von Berlin
Onthophagus taurus,Scarabaeidae,0,,,Rote Liste und Gesamtartenliste der Blatthornkäfer (Coleoptera: Scarabaeoidea) von Berlin
Protaetia fieberi,Scarabaeidae,0,,,Rote Liste und Gesamtartenliste der Blatthornkäfer (Coleoptera: Scarabaeoidea) von Berlin
Rhysothorax rufus,Scarabaeidae,0,,,Rote Liste und Gesamtartenliste der Blatthornkäfer (Coleoptera: Scarabaeoidea) von Berlin
Tropinota hirta,Scarabaeidae,0,,Zottiger Rosenkäfer,Rote Liste und Gesamtartenliste der Blatthornkäfer (Coleoptera: Scarabaeoidea) von Berlin
Trox cadaverinus,Trogidae,0,,,Rote Liste und Gesamtartenliste der Blatthornkäfer (Coleoptera: Scarabaeoidea) von Berlin
Trox hispidus,Trogidae,0,,,Rote Liste und Gesamtartenliste der Blatthornkäfer (Coleoptera: Scarabaeoidea) von Berlin
Trox sabulosus,Trogidae,0,,,Rote Liste und Gesamtartenliste der Blatthornkäfer (Coleoptera: Scarabaeoidea) von Berlin
Hygrobia hermanni,Hygrobiidae,0,"Weißensee, ca. 1900, HORION (1941) (ZMB)",,"Rote Liste und Gesamtartenliste der Wasserkäfer (Coleoptera: Hydradephaga, Hydrophiloidea part., Hydraenidae, Elmidae und Dryopidae) von Berlin"
Brychius elevatus,Haliplidae,0,"Tempelhof, ca. 1900, coll. Weiß (ZMB)",,"Rote Liste und Gesamtartenliste der Wasserkäfer (Coleoptera: Hydradephaga, Hydrophiloidea part., Hydraenidae, Elmidae und Dryopidae) von Berlin"
Agabus biguttatus,Dytiscidae,0,"Frohnau, Bieselfließ, 1996, Hendrich leg.",,"Rote Liste und Gesamtartenliste der Wasserkäfer (Coleoptera: Hydradephaga, Hydrophiloidea part., Hydraenidae, Elmidae und Dryopidae) von Berlin"
Agabus clypealis,Dytiscidae,0,"Dahlem, NSG Langes Luch, 1987, BH leg.",,"Rote Liste und Gesamtartenliste der Wasserkäfer (Coleoptera: Hydradephaga, Hydrophiloidea part., Hydraenidae, Elmidae und Dryopidae) von Berlin"
Agabus guttatus,Dytiscidae,0,"Frohnau, Bieselfließ, 1996, Hendrich leg.",,"Rote Liste und Gesamtartenliste der Wasserkäfer (Coleoptera: Hydradephaga, Hydrophiloidea part., Hydraenidae, Elmidae und Dryopidae) von Berlin"
