Species,Family,BE,Letzter_Nachweis,Deutscher_Name,Reference
Apatura iris,Nymphalidae,0,x 1946,Großer Schillerfalter,Rote Liste und Gesamtartenliste der Großschmetterlinge (Lepidoptera: Makrolepidoptera) von Berlin
Limenitis populi,Nymphalidae,0,x 1974,Großer Eisvogel,Rote Liste und Gesamtartenliste der Großschmetterlinge (Lepidoptera: Makrolepidoptera) von Berlin
Melitaea didyma,Nymphalidae,0,x 1971,Roter Scheckenfalter,Rote Liste und Gesamtartenliste der Großschmetterlinge (Lepidoptera: Makrolepidoptera) von Berlin
Melitaea diamina,Nymphalidae,0,x 1968,Baldrian-Scheckenfalter,Rote Liste und Gesamtartenliste der Großschmetterlinge (Lepidoptera: Makrolepidoptera) von Berlin
Euphydryas aurinia,Nymphalidae,0,x 1961,Goldener-Scheckenfalter,Rote Liste und Gesamtartenliste der Großschmetterlinge (Lepidoptera: Makrolepidoptera) von Berlin
Lasiommata maera,Nymphalidae,0,x 1960,Braunauge,Rote Liste und Gesamtartenliste der Großschmetterlinge (Lepidoptera: Makrolepidoptera) von Berlin
Coenonympha tullia,Nymphalidae,0,x 1974,Großes Wiesenvögelchen,Rote Liste und Gesamtartenliste der Großschmetterlinge (Lepidoptera: Makrolepidoptera) von Berlin
Pyronia tithonus,Nymphalidae,0,x vor 1900,Rotbraunes-Ochsenauge,Rote Liste und Gesamtartenliste der Großschmetterlinge (Lepidoptera: Makrolepidoptera) von Berlin
Erebia aethiops,Nymphalidae,0,x vor 1956,Graubindiger-Mohrenfalter,Rote Liste und Gesamtartenliste der Großschmetterlinge (Lepidoptera: Makrolepidoptera) von Berlin
Erebia medusa,Nymphalidae,0,x vor 1900,Rundaugen-Mohrenfalter,Rote Liste und Gesamtartenliste der Großschmetterlinge (Lepidoptera: Makrolepidoptera) von Berlin
Hipparchia statilinus,Nymphalidae,0,x vor 1900,Eisenfarbener Samtfalter,Rote Liste und Gesamtartenliste der Großschmetterlinge (Lepidoptera: Makrolepidoptera) von Berlin
Hipparchia alcyone,Nymphalidae,0,x 1975,Kleiner Waldportier,Rote Liste und Gesamtartenliste der Großschmetterlinge (Lepidoptera: Makrolepidoptera) von Berlin
Idaea pallidata,Geometridae,0,x vor 1900,Blasser Zwergspanner,Rote Liste und Gesamtartenliste der Großschmetterlinge (Lepidoptera: Makrolepidoptera) von Berlin
Scopula corrivalaria,Geometridae,0,x 1963,Feuchtwiesen-Kleinspanner,Rote Liste und Gesamtartenliste der Großschmetterlinge (Lepidoptera: Makrolepidoptera) von Berlin
Scopula virgulata,Geometridae,0,x 1970,Braungestreifter Kleinspanner,Rote Liste und Gesamtartenliste der Großschmetterlinge (Lepidoptera: Makrolepidoptera) von Berlin
Scopula ornata,Geometridae,0,x 1969,Schmuck-Kleinspanner,Rote Liste und Gesamtartenliste der Großschmetterlinge (Lepidoptera: Makrolepidoptera) von Berlin
Scopula decorata,Geometridae,0,x 1900,Sandthymian-Kleinspanner,Rote Liste und Gesamtartenliste der Großschmetterlinge (Lepidoptera: Makrolepidoptera) von Berlin
Rhodostrophia vibicaria,Geometridae,0,x 1986,Rotbandspanner,Rote Liste und Gesamtartenliste der Großschmetterlinge (Lepidoptera: Makrolepidoptera) von Berlin
Phibalapteryx virgata,Geometridae,0,x 1949,Streifenspanner,Rote Liste und Gesamtartenliste der Großschmetterlinge (Lepidoptera: Makrolepidoptera) von Berlin
Scotopteryx moeniata,Geometridae,0,x 1969,Winkelbinden-Wellenstriemenspanner,Rote Liste und Gesamtartenliste der Großschmetterlinge (Lepidoptera: Makrolepidoptera) von Berlin
Xanthorhoe biriviata,Geometridae,0,x 1975,Springkraut-Blattspanner,Rote Liste und Gesamtartenliste der Großschmetterlinge (Lepidoptera: Makrolepidoptera) von Berlin
Spargania luctuata,Geometridae,0,x 1969,Schwarzweißer Weiden-röschenspanner,Rote Liste und Gesamtartenliste der Großschmetterlinge (Lepidoptera: Makrolepidoptera) von Berlin
Asthena anseraria,Geometridae,0,x 1977,Gepunkteter Zierspanner,Rote Liste und Gesamtartenliste der Großschmetterlinge (Lepidoptera: Makrolepidoptera) von Berlin
Rheumaptera hastata,Geometridae,0,x vor 1900,Großer Speerspanner,Rote Liste und Gesamtartenliste der Großschmetterlinge (Lepidoptera: Makrolepidoptera) von Berlin
Triphosa dubitata,Geometridae,0,x 1981,Olivbrauner Höhlenspanner,Rote Liste und Gesamtartenliste der Großschmetterlinge (Lepidoptera: Makrolepidoptera) von Berlin
Horisme aquata,Geometridae,0,x vor 1900,Küchenschellen-Waldrebenspanner,Rote Liste und Gesamtartenliste der Großschmetterlinge (Lepidoptera: Makrolepidoptera) von Berlin
Perizoma blandiata,Geometridae,0,x 1961,Augentrost-Kapselspanner,Rote Liste und Gesamtartenliste der Großschmetterlinge (Lepidoptera: Makrolepidoptera) von Berlin
Perizoma albulata,Geometridae,0,x 1992,Klappertopf-Kapselspanner,Rote Liste und Gesamtartenliste der Großschmetterlinge (Lepidoptera: Makrolepidoptera) von Berlin
Pasiphila debiliata,Geometridae,0,x 1962,Heidelbeer-Blütenspanner,Rote Liste und Gesamtartenliste der Großschmetterlinge (Lepidoptera: Makrolepidoptera) von Berlin
Eupithecia analoga,Geometridae,0,x 1974,Fichtengallen-Blütenspanner,Rote Liste und Gesamtartenliste der Großschmetterlinge (Lepidoptera: Makrolepidoptera) von Berlin
Eupithecia pygmaeata,Geometridae,0,x 1986,Zwerg-Blütenspanner,Rote Liste und Gesamtartenliste der Großschmetterlinge (Lepidoptera: Makrolepidoptera) von Berlin
Eupithecia pimpinellata,Geometridae,0,x 1986,Bibernellen-Blütenspanner,Rote Liste und Gesamtartenliste der Großschmetterlinge (Lepidoptera: Makrolepidoptera) von Berlin
Eupithecia trisignaria,Geometridae,0,x 1960,Bergwald-Doldengewächs-Blütenspanner,Rote Liste und Gesamtartenliste der Großschmetterlinge (Lepidoptera: Makrolepidoptera) von Berlin
Eupithecia goossensiata,Geometridae,0,x 1920,Goossens Heidekraut-Blütenspanner,Rote Liste und Gesamtartenliste der Großschmetterlinge (Lepidoptera: Makrolepidoptera) von Berlin
Aplocera efformata,Geometridae,0,x 1974,Sandheiden-Johanniskrautspanner,Rote Liste und Gesamtartenliste der Großschmetterlinge (Lepidoptera: Makrolepidoptera) von Berlin
Chesias rufata,Geometridae,0,x 1988,Früher Ginsterspanner,Rote Liste und Gesamtartenliste der Großschmetterlinge (Lepidoptera: Makrolepidoptera) von Berlin
Macaria signaria,Geometridae,0,x 1985,Braungrauer Eckflügelspanner,Rote Liste und Gesamtartenliste der Großschmetterlinge (Lepidoptera: Makrolepidoptera) von Berlin
Isturgia famula,Geometridae,0,x vor 1900,Gebänderter Besenginsterspanner,Rote Liste und Gesamtartenliste der Großschmetterlinge (Lepidoptera: Makrolepidoptera) von Berlin
