Species,Family,BE,Letzter_Nachweis,Deutscher_Name,Reference
Callidium aeneum,Cerambycidae,0,,,Rote Liste und Gesamtartenliste der Bockkäfer (Coleoptera: Cerambycidae) von Berlin
Cerambyx scopolii,Cerambycidae,0,,Kleiner Eichenbockkäfer,Rote Liste und Gesamtartenliste der Bockkäfer (Coleoptera: Cerambycidae) von Berlin
Chlorophorus varius,Cerambycidae,0,,,Rote Liste und Gesamtartenliste der Bockkäfer (Coleoptera: Cerambycidae) von Berlin
Lamia textor,Cerambycidae,0,,Weberbockkäfer,Rote Liste und Gesamtartenliste der Bockkäfer (Coleoptera: Cerambycidae) von Berlin
Leiopus punctulatus,Cerambycidae,0,,,Rote Liste und Gesamtartenliste der Bockkäfer (Coleoptera: Cerambycidae) von Berlin
Necydalis ulmi,Cerambycidae,0,,,Rote Liste und Gesamtartenliste der Bockkäfer (Coleoptera: Cerambycidae) von Berlin
Phymatodes glabratus,Cerambycidae,0,,,Rote Liste und Gesamtartenliste der Bockkäfer (Coleoptera: Cerambycidae) von Berlin
Phytoecia molybdaena,Cerambycidae,0,,,Rote Liste und Gesamtartenliste der Bockkäfer (Coleoptera: Cerambycidae) von Berlin
