Species,Family,BE,Letzter_Nachweis,Deutscher_Name,Reference
Nehalennia speciosa,Coenagrionidae,0,,Zwerglibelle,Rote Liste und Gesamtartenliste der Libellen (Odonata)
Onychogomphus forcipatus,Gomphidae,0,,Kleine Zangenlibelle,Rote Liste und Gesamtartenliste der Libellen (Odonata)
Cordulegaster boltonii,Cordulegastridae,0,,Zweigestreifte Quelljungfer,Rote Liste und Gesamtartenliste der Libellen (Odonata)
Leucorrhinia dubia,Libellulidae,0,,Kleine Moosjungfer,Rote Liste und Gesamtartenliste der Libellen (Odonata)
