Species,Family,BE,Letzter_Nachweis,Deutscher_Name,Reference
Barbastella barbastellus,Vespertilionidae,0,,Mopsfledermaus,Rote Liste und Gesamtartenliste der Säugetiere (Mammalia) von Berlin
Cricetus cricetus,Cricetidae,0,,Hamster,Rote Liste und Gesamtartenliste der Säugetiere (Mammalia) von Berlin
Rattus rattus,Muridae,0,,Hausratte,Rote Liste und Gesamtartenliste der Säugetiere (Mammalia) von Berlin
Cervus elaphus,Cervidae,0,,Rothirsch,Rote Liste und Gesamtartenliste der Säugetiere (Mammalia) von Berlin
