Species,Family,BE,Letzter_Nachweis,Deutscher_Name,Reference
Andrenosoma atrum,Asilidae,0,1904,,Rote Liste und Gesamtartenliste der Raubfliegen (Diptera: Asilidae) von Berlin
Asilus crabroniformis,Asilidae,0,1936,,Rote Liste und Gesamtartenliste der Raubfliegen (Diptera: Asilidae) von Berlin
Choerades gilva,Asilidae,0,1958,,Rote Liste und Gesamtartenliste der Raubfliegen (Diptera: Asilidae) von Berlin
Dioctria cothurnata,Asilidae,0,1951,,Rote Liste und Gesamtartenliste der Raubfliegen (Diptera: Asilidae) von Berlin
Erax barbatus,Asilidae,0,vor 1945,,Rote Liste und Gesamtartenliste der Raubfliegen (Diptera: Asilidae) von Berlin
Holopogon fumipennis,Asilidae,0,vor 1945,,Rote Liste und Gesamtartenliste der Raubfliegen (Diptera: Asilidae) von Berlin
Laphria gibbosa,Asilidae,0,1965,,Rote Liste und Gesamtartenliste der Raubfliegen (Diptera: Asilidae) von Berlin
Leptarthrus brevirostris,Asilidae,0,1932,,Rote Liste und Gesamtartenliste der Raubfliegen (Diptera: Asilidae) von Berlin
