Species,Family,BE,Letzter_Nachweis,Deutscher_Name,Reference
Leiocolea rutheana,Jungermanniaceae,0,vor 1900,,Rote Liste und Gesamtartenliste der Moose (Bryophyta) von Berlin
Lophozia capitata,Lophoziaceae,0,vor 1900,,Rote Liste und Gesamtartenliste der Moose (Bryophyta) von Berlin
Lophozia laxa,Lophoziaceae,0,1904,,Rote Liste und Gesamtartenliste der Moose (Bryophyta) von Berlin
Marsupella funckii,Gymnomitriaceae,0,vor 1900,,Rote Liste und Gesamtartenliste der Moose (Bryophyta) von Berlin
Meesia longiseta,Meesiaceae,0,vor 1900,,Rote Liste und Gesamtartenliste der Moose (Bryophyta) von Berlin
Meesia triquetra,Meesiaceae,0,vor 1900,,Rote Liste und Gesamtartenliste der Moose (Bryophyta) von Berlin
Meesia uliginosa,Meesiaceae,0,vor 1900,,Rote Liste und Gesamtartenliste der Moose (Bryophyta) von Berlin
Nardia geoscyphus,Gymnomitriaceae,0,1927,,Rote Liste und Gesamtartenliste der Moose (Bryophyta) von Berlin
Nardia scalaris,Gymnomitriaceae,0,1900,,Rote Liste und Gesamtartenliste der Moose (Bryophyta) von Berlin
Neckera crispa,Neckeraceae,0,1922,,Rote Liste und Gesamtartenliste der Moose (Bryophyta) von Berlin
Paludella squarrosa,Meesiaceae,0,1902,,Rote Liste und Gesamtartenliste der Moose (Bryophyta) von Berlin
Philonotis caespitosa,Bartramiaceae,0,vor 1900,,Rote Liste und Gesamtartenliste der Moose (Bryophyta) von Berlin
Philonotis fontana,Bartramiaceae,0,vor 1900,,Rote Liste und Gesamtartenliste der Moose (Bryophyta) von Berlin
Physcomitrium eurystomum,Funariaceae,0,um 1900,,Rote Liste und Gesamtartenliste der Moose (Bryophyta) von Berlin
Physcomitrium sphaericum,Funariaceae,0,um 1900,,Rote Liste und Gesamtartenliste der Moose (Bryophyta) von Berlin
Pogonatum aloides,Polytrichaceae,0,um 1900,,Rote Liste und Gesamtartenliste der Moose (Bryophyta) von Berlin
Pohlia bulbifera,Bryaceae,0,1906,,Rote Liste und Gesamtartenliste der Moose (Bryophyta) von Berlin
Pohlia camptotrachela,Bryaceae,0,um 1940,,Rote Liste und Gesamtartenliste der Moose (Bryophyta) von Berlin
Pohlia cruda,Bryaceae,0,vor 1900,,Rote Liste und Gesamtartenliste der Moose (Bryophyta) von Berlin
Pohlia elongata,Bryaceae,0,1916,,Rote Liste und Gesamtartenliste der Moose (Bryophyta) von Berlin
Pohlia sphagnicola,Bryaceae,0,1957,,Rote Liste und Gesamtartenliste der Moose (Bryophyta) von Berlin
Polytrichum strictum,Polytrichaceae,0,1938,,Rote Liste und Gesamtartenliste der Moose (Bryophyta) von Berlin
Pseudocrossidium revolutum,Pottiaceae,0,1925,,Rote Liste und Gesamtartenliste der Moose (Bryophyta) von Berlin
Pyramidula tetragona,Funariaceae,0,vor 1900,,Rote Liste und Gesamtartenliste der Moose (Bryophyta) von Berlin
Riccardia chamedryfolia,Aneuraceae,0,1958,,Rote Liste und Gesamtartenliste der Moose (Bryophyta) von Berlin
Riccardia palmata,Aneuraceae,0,vor 1900,,Rote Liste und Gesamtartenliste der Moose (Bryophyta) von Berlin
Ricciocarpos natans,Ricciaceae,0,1958,,Rote Liste und Gesamtartenliste der Moose (Bryophyta) von Berlin
