Species,Family,BE,Letzter_Nachweis,Deutscher_Name,Reference
Arocatus roeselii,Lygaeidae,0,um 1850,,Rote Liste und Gesamtartenliste der Wanzen (Heteroptera) von Berlin
Lygaeus equestris,Lygaeidae,0,vor 1900,,Rote Liste und Gesamtartenliste der Wanzen (Heteroptera) von Berlin
Cymus aurescens,Cymidae,0,vor 1900,,Rote Liste und Gesamtartenliste der Wanzen (Heteroptera) von Berlin
Heterogaster artemisiae,Heterogastridae,0,vor 1912,,Rote Liste und Gesamtartenliste der Wanzen (Heteroptera) von Berlin
Camptotelus lineolatus,Oxycarenidae,0,1990,,Rote Liste und Gesamtartenliste der Wanzen (Heteroptera) von Berlin
Macroplax preyssleri,Oxycarenidae,0,1907,,Rote Liste und Gesamtartenliste der Wanzen (Heteroptera) von Berlin
Emblethis griseus,Rhyparochromidae,0,2000,,Rote Liste und Gesamtartenliste der Wanzen (Heteroptera) von Berlin
Emblethis verbasci,Rhyparochromidae,0,1990,,Rote Liste und Gesamtartenliste der Wanzen (Heteroptera) von Berlin
Eremocoris fenestratus,Rhyparochromidae,0,vor 1990,,Rote Liste und Gesamtartenliste der Wanzen (Heteroptera) von Berlin
Gonianotus marginepunctatus,Rhyparochromidae,0,1990,,Rote Liste und Gesamtartenliste der Wanzen (Heteroptera) von Berlin
Lasiosomus enervis,Rhyparochromidae,0,vor 1991,,Rote Liste und Gesamtartenliste der Wanzen (Heteroptera) von Berlin
Ligyrocoris sylvestris,Rhyparochromidae,0,um 1880,,Rote Liste und Gesamtartenliste der Wanzen (Heteroptera) von Berlin
Peritrechus gracilicornis,Rhyparochromidae,0,1993,,Rote Liste und Gesamtartenliste der Wanzen (Heteroptera) von Berlin
Peritrechus lundii,Rhyparochromidae,0,1922,,Rote Liste und Gesamtartenliste der Wanzen (Heteroptera) von Berlin
Pionosomus varius,Rhyparochromidae,0,1937,,Rote Liste und Gesamtartenliste der Wanzen (Heteroptera) von Berlin
Rhyparochromus phoeniceus,Rhyparochromidae,0,1885,,Rote Liste und Gesamtartenliste der Wanzen (Heteroptera) von Berlin
Parapiesma variabile,Piesmatidae,0,1989,,Rote Liste und Gesamtartenliste der Wanzen (Heteroptera) von Berlin
Berytinus hirticornis,Berytidae,0,1952,,Rote Liste und Gesamtartenliste der Wanzen (Heteroptera) von Berlin
Metatropis rufescens,Berytidae,0,um 1900,,Rote Liste und Gesamtartenliste der Wanzen (Heteroptera) von Berlin
Coriomeris denticulatus,Coreidae,0,1988,,Rote Liste und Gesamtartenliste der Wanzen (Heteroptera) von Berlin
Nemocoris fallenii,Coreidae,0,vor 1881,,Rote Liste und Gesamtartenliste der Wanzen (Heteroptera) von Berlin
Rhopalus maculatus,Rhopalidae,0,1989,,Rote Liste und Gesamtartenliste der Wanzen (Heteroptera) von Berlin
Rhopalus rufus,Rhopalidae,0,1921,,Rote Liste und Gesamtartenliste der Wanzen (Heteroptera) von Berlin
Cydnus aterrimus,Cydnidae,0,1988,,Rote Liste und Gesamtartenliste der Wanzen (Heteroptera) von Berlin
Legnotus picipes,Cydnidae,0,1982,,Rote Liste und Gesamtartenliste der Wanzen (Heteroptera) von Berlin
Odontoscelis fuliginosa,Scutelleridae,0,1987,,Rote Liste und Gesamtartenliste der Wanzen (Heteroptera) von Berlin
Odontoscelis lineola,Scutelleridae,0,1932,,Rote Liste und Gesamtartenliste der Wanzen (Heteroptera) von Berlin
Aelia rostrata,Pentatomidae,0,vor 1971,,Rote Liste und Gesamtartenliste der Wanzen (Heteroptera) von Berlin
Chlorochroa juniperina,Pentatomidae,0,vor 1911,,Rote Liste und Gesamtartenliste der Wanzen (Heteroptera) von Berlin
Eurydema dominulus,Pentatomidae,0,1952,,Rote Liste und Gesamtartenliste der Wanzen (Heteroptera) von Berlin
Eysarcoris venustissimus,Pentatomidae,0,1959,,Rote Liste und Gesamtartenliste der Wanzen (Heteroptera) von Berlin
Jalla dumosa,Pentatomidae,0,1930,,Rote Liste und Gesamtartenliste der Wanzen (Heteroptera) von Berlin
Palomena viridissima,Pentatomidae,0,1954,,Rote Liste und Gesamtartenliste der Wanzen (Heteroptera) von Berlin
Sciocoris umbrinus,Pentatomidae,0,1971–1991,,Rote Liste und Gesamtartenliste der Wanzen (Heteroptera) von Berlin
Zicrona caerulea,Pentatomidae,0,1977,,Rote Liste und Gesamtartenliste der Wanzen (Heteroptera) von Berlin
