Species,Family,BE,Letzter_Nachweis,Deutscher_Name,Reference
Arcyptera microptera,Acrididae,0,,,Rote Liste und Gesamtartenliste der Heuschrecken und Grillen (Saltatoria: Ensifera et Caelifera) von Berlin
Calliptamus italicus,Acrididae,0,,,Rote Liste und Gesamtartenliste der Heuschrecken und Grillen (Saltatoria: Ensifera et Caelifera) von Berlin
Gampsocleis glabra,Tettigoniidae,0,,,Rote Liste und Gesamtartenliste der Heuschrecken und Grillen (Saltatoria: Ensifera et Caelifera) von Berlin
Metrioptera brachyptera,Tettigoniidae,0,,,Rote Liste und Gesamtartenliste der Heuschrecken und Grillen (Saltatoria: Ensifera et Caelifera) von Berlin
Platycleis montana,Tettigoniidae,0,,,Rote Liste und Gesamtartenliste der Heuschrecken und Grillen (Saltatoria: Ensifera et Caelifera) von Berlin
Psophus stridulus,Acrididae,0,,,Rote Liste und Gesamtartenliste der Heuschrecken und Grillen (Saltatoria: Ensifera et Caelifera) von Berlin
Stauroderus scalaris,Acrididae,0,,,Rote Liste und Gesamtartenliste der Heuschrecken und Grillen (Saltatoria: Ensifera et Caelifera) von Berlin
Stenobothrus nigromaculatus,Acrididae,0,,,Rote Liste und Gesamtartenliste der Heuschrecken und Grillen (Saltatoria: Ensifera et Caelifera) von Berlin
