Species,Family,BE,Letzter_Nachweis,Deutscher_Name,Reference
Emblyna brevidens,Dictynidae,0,1973,,Rote Liste und Gesamtartenliste der Spinnen (Araneae) und Gesamtartenliste der Weberknechte (Opiliones) von Berlin
Amaurobius similis,Amaurobiidae,0,1983,,Rote Liste und Gesamtartenliste der Spinnen (Araneae) und Gesamtartenliste der Weberknechte (Opiliones) von Berlin
Agroeca dentigera,Liocranidae,0,1973,,Rote Liste und Gesamtartenliste der Spinnen (Araneae) und Gesamtartenliste der Weberknechte (Opiliones) von Berlin
Scotina palliardii,Liocranidae,0,1967,,Rote Liste und Gesamtartenliste der Spinnen (Araneae) und Gesamtartenliste der Weberknechte (Opiliones) von Berlin
Clubiona caerulescens,Clubionidae,0,1984,,Rote Liste und Gesamtartenliste der Spinnen (Araneae) und Gesamtartenliste der Weberknechte (Opiliones) von Berlin
Clubiona frisia,Clubionidae,0,1983,,Rote Liste und Gesamtartenliste der Spinnen (Araneae) und Gesamtartenliste der Weberknechte (Opiliones) von Berlin
Clubiona germanica,Clubionidae,0,1983,,Rote Liste und Gesamtartenliste der Spinnen (Araneae) und Gesamtartenliste der Weberknechte (Opiliones) von Berlin
Berlandina cinerea,Gnaphosidae,0,1913,,Rote Liste und Gesamtartenliste der Spinnen (Araneae) und Gesamtartenliste der Weberknechte (Opiliones) von Berlin
Micaria dives,Gnaphosidae,0,1934,,Rote Liste und Gesamtartenliste der Spinnen (Araneae) und Gesamtartenliste der Weberknechte (Opiliones) von Berlin
Scotophaeus quadripunctatus,Gnaphosidae,0,1989,,Rote Liste und Gesamtartenliste der Spinnen (Araneae) und Gesamtartenliste der Weberknechte (Opiliones) von Berlin
Micrommata virescens,Sparassidae,0,1916,,Rote Liste und Gesamtartenliste der Spinnen (Araneae) und Gesamtartenliste der Weberknechte (Opiliones) von Berlin
Synema globosum,Thomisidae,0,um 1900,,Rote Liste und Gesamtartenliste der Spinnen (Araneae) und Gesamtartenliste der Weberknechte (Opiliones) von Berlin
Xysticus luctuosus,Thomisidae,0,1983,,Rote Liste und Gesamtartenliste der Spinnen (Araneae) und Gesamtartenliste der Weberknechte (Opiliones) von Berlin
Xysticus robustus,Thomisidae,0,1981,,Rote Liste und Gesamtartenliste der Spinnen (Araneae) und Gesamtartenliste der Weberknechte (Opiliones) von Berlin
Dendryphantes hastatus,Salticidae,0,1903,,Rote Liste und Gesamtartenliste der Spinnen (Araneae) und Gesamtartenliste der Weberknechte (Opiliones) von Berlin
Leptorchestes berolinensis,Salticidae,0,vor 1846,,Rote Liste und Gesamtartenliste der Spinnen (Araneae) und Gesamtartenliste der Weberknechte (Opiliones) von Berlin
Marpissa pomatia,Salticidae,0,1983,,Rote Liste und Gesamtartenliste der Spinnen (Araneae) und Gesamtartenliste der Weberknechte (Opiliones) von Berlin
Pseudicius encarpatus,Salticidae,0,um 1900,,Rote Liste und Gesamtartenliste der Spinnen (Araneae) und Gesamtartenliste der Weberknechte (Opiliones) von Berlin
Synageles hilarulus,Salticidae,0,1983,,Rote Liste und Gesamtartenliste der Spinnen (Araneae) und Gesamtartenliste der Weberknechte (Opiliones) von Berlin
