Species,Family,BE,Letzter_Nachweis,Deutscher_Name,Reference
Dichrostigma flavipes,Raphidiidae,0,Forst Friedrichshagen (METZGER 1960),,"Rote Liste und Gesamtartenliste der Kamelhalsfliegen, Schlammfliegen und Netzflügler (Raphidioptera, Megaloptera, Neuroptera) von Berlin"
Nineta inpunctata,Chrysopidae,0,1981 in Friedrichshagen,,"Rote Liste und Gesamtartenliste der Kamelhalsfliegen, Schlammfliegen und Netzflügler (Raphidioptera, Megaloptera, Neuroptera) von Berlin"
Sympherobius fuscescens,Hemerobiidae,0,1912 in Zehlendorf (Nikolassee),,"Rote Liste und Gesamtartenliste der Kamelhalsfliegen, Schlammfliegen und Netzflügler (Raphidioptera, Megaloptera, Neuroptera) von Berlin"
Mantispa styriaca,Mantispidae,0,vor 1900,,"Rote Liste und Gesamtartenliste der Kamelhalsfliegen, Schlammfliegen und Netzflügler (Raphidioptera, Megaloptera, Neuroptera) von Berlin"
Distoleon tetragrammicus,Myrmeleontidae,0,1912,,"Rote Liste und Gesamtartenliste der Kamelhalsfliegen, Schlammfliegen und Netzflügler (Raphidioptera, Megaloptera, Neuroptera) von Berlin"
