Species,Family,BE,Letzter_Nachweis,Deutscher_Name,Reference
Agapetus fuscipes,Glossosomatidae,0,vor 1882,,Rote Liste und Gesamtartenliste der Köcherfliegen (Trichoptera) von Berlin
Grammotaulius nitidus,Limnephilidae,0,ca. 1890,,Rote Liste und Gesamtartenliste der Köcherfliegen (Trichoptera) von Berlin
Hydropsyche contubernalis,Hydropsychidae,0,1889,,Rote Liste und Gesamtartenliste der Köcherfliegen (Trichoptera) von Berlin
Limnephilus elegans,Limnephilidae,0,vor 1991,,Rote Liste und Gesamtartenliste der Köcherfliegen (Trichoptera) von Berlin
Limnephilus fuscinervis,Limnephilidae,0,vor 1909,,Rote Liste und Gesamtartenliste der Köcherfliegen (Trichoptera) von Berlin
Nemotaulius punctatolineatus,Limnephilidae,0,1890,,Rote Liste und Gesamtartenliste der Köcherfliegen (Trichoptera) von Berlin
Psychomyia pusilla,Psychomyiidae,0,vor 1914?,,Rote Liste und Gesamtartenliste der Köcherfliegen (Trichoptera) von Berlin
