Species,Family,BE,Letzter_Nachweis,Deutscher_Name,Reference
Notaris bimaculatus,Brachyceridae,0,,,Rote Liste und Gesamtartenliste der Rüsselkäfer (Curculionoidea) von Berlin
Omphalapion dispar,Brentidae,0,,,Rote Liste und Gesamtartenliste der Rüsselkäfer (Curculionoidea) von Berlin
Oprohinus consputus,Curculionidae,0,,,Rote Liste und Gesamtartenliste der Rüsselkäfer (Curculionoidea) von Berlin
Orthochaetes setiger,Curculionidae,0,,,Rote Liste und Gesamtartenliste der Rüsselkäfer (Curculionoidea) von Berlin
Oxystoma opeticum,Apionidae,0,,,Rote Liste und Gesamtartenliste der Rüsselkäfer (Curculionoidea) von Berlin
Pelenomus quadricorniger,Curculionidae,0,,,Rote Liste und Gesamtartenliste der Rüsselkäfer (Curculionoidea) von Berlin
Phyllobius brevis,Curculionidae,0,,,Rote Liste und Gesamtartenliste der Rüsselkäfer (Curculionoidea) von Berlin
Pirapion immune,Apionidae,0,,,Rote Liste und Gesamtartenliste der Rüsselkäfer (Curculionoidea) von Berlin
Polydrusus confluens,Curculionidae,0,,,Rote Liste und Gesamtartenliste der Rüsselkäfer (Curculionoidea) von Berlin
Polydrusus undatus,Curculionidae,0,,,Rote Liste und Gesamtartenliste der Rüsselkäfer (Curculionoidea) von Berlin
Poophagus hopffgarteni,Curculionidae,0,,,Rote Liste und Gesamtartenliste der Rüsselkäfer (Curculionoidea) von Berlin
Prisistus obsoletus,Curculionidae,0,,,Rote Liste und Gesamtartenliste der Rüsselkäfer (Curculionoidea) von Berlin
Pselactus spadix,Curculionidae,0,,,Rote Liste und Gesamtartenliste der Rüsselkäfer (Curculionoidea) von Berlin
Pseudomyllocerus sinuatus,Curculionidae,0,,,Rote Liste und Gesamtartenliste der Rüsselkäfer (Curculionoidea) von Berlin
Ranunculiphilus faeculentus,Curculionidae,0,,,Rote Liste und Gesamtartenliste der Rüsselkäfer (Curculionoidea) von Berlin
Rhynchaenus calceatus,Curculionidae,0,,,Rote Liste und Gesamtartenliste der Rüsselkäfer (Curculionoidea) von Berlin
Rhynchites pubescens,Attelabidae,0,,,Rote Liste und Gesamtartenliste der Rüsselkäfer (Curculionoidea) von Berlin
Rutidosoma globulus,Curculionidae,0,,,Rote Liste und Gesamtartenliste der Rüsselkäfer (Curculionoidea) von Berlin
Sibinia primita,Curculionidae,0,,,Rote Liste und Gesamtartenliste der Rüsselkäfer (Curculionoidea) von Berlin
Sibinia tibialis,Curculionidae,0,,,Rote Liste und Gesamtartenliste der Rüsselkäfer (Curculionoidea) von Berlin
Sibinia viscariae,Curculionidae,0,,,Rote Liste und Gesamtartenliste der Rüsselkäfer (Curculionoidea) von Berlin
Sibinia vittata,Curculionidae,0,,,Rote Liste und Gesamtartenliste der Rüsselkäfer (Curculionoidea) von Berlin
Sirocalodes quercicola,Curculionidae,0,,,Rote Liste und Gesamtartenliste der Rüsselkäfer (Curculionoidea) von Berlin
Sitona inops,Curculionidae,0,,,Rote Liste und Gesamtartenliste der Rüsselkäfer (Curculionoidea) von Berlin
Sitophilus zeamais,Dryophthoridae,0,,,Rote Liste und Gesamtartenliste der Rüsselkäfer (Curculionoidea) von Berlin
Squamapion vicinum,Apionidae,0,,,Rote Liste und Gesamtartenliste der Rüsselkäfer (Curculionoidea) von Berlin
Stenocarus cardui,Curculionidae,0,,,Rote Liste und Gesamtartenliste der Rüsselkäfer (Curculionoidea) von Berlin
Strophosoma fulvicorne,Curculionidae,0,,,Rote Liste und Gesamtartenliste der Rüsselkäfer (Curculionoidea) von Berlin
Thamiocolus pubicollis,Curculionidae,0,,,Rote Liste und Gesamtartenliste der Rüsselkäfer (Curculionoidea) von Berlin
Thryogenes festucae,Brachyceridae,0,,,Rote Liste und Gesamtartenliste der Rüsselkäfer (Curculionoidea) von Berlin
Thryogenes nereis,Brachyceridae,0,,,Rote Liste und Gesamtartenliste der Rüsselkäfer (Curculionoidea) von Berlin
Trachyphloeus spinimanus,Curculionidae,0,,,Rote Liste und Gesamtartenliste der Rüsselkäfer (Curculionoidea) von Berlin
Tychius lineatulus,Curculionidae,0,,,Rote Liste und Gesamtartenliste der Rüsselkäfer (Curculionoidea) von Berlin
Tychius medicaginis,Curculionidae,0,,,Rote Liste und Gesamtartenliste der Rüsselkäfer (Curculionoidea) von Berlin
Tychius trivialis,Curculionidae,0,,,Rote Liste und Gesamtartenliste der Rüsselkäfer (Curculionoidea) von Berlin
