Species,Family,BE,Letzter_Nachweis,Deutscher_Name,Reference
Epichnopterix sieboldii,Psychidae,0,1965,,Rote Liste und Gesamtartenliste der Sackträger (Lepidoptera: Psychidae) von Berlin
Acanthopsyche atra,Psychidae,0,1982,,Rote Liste und Gesamtartenliste der Sackträger (Lepidoptera: Psychidae) von Berlin
Pachythelia villosella,Psychidae,0,1963,,Rote Liste und Gesamtartenliste der Sackträger (Lepidoptera: Psychidae) von Berlin
Phalacropterix graslinella,Psychidae,0,um 1900,,Rote Liste und Gesamtartenliste der Sackträger (Lepidoptera: Psychidae) von Berlin
Megalophanes viciella,Psychidae,0,1966,,Rote Liste und Gesamtartenliste der Sackträger (Lepidoptera: Psychidae) von Berlin
