Familie,Familie_deutsch,Gattung,Artname,Genus,Species,Wissenschaftlicher Name,BE,Bestand,Vor_1990,1990_2017,Trend_kurz,Habitat,D,BB,GS,Deutscher_name
Noctuidae,,"Pabulatrix SUGI, 1982","pabulatricula (BRAHM, 1791)",Pabulatrix,pabulatricula,Pabulatrix pabulatricula,0,ex,x vor 1900,–,,EW,1,o,,Helle Pfeifengras-Grasbüscheleule
Noctuidae,,"Hyppa DUPONCHEL, 1845","rectilinea (ESPER, 1788)",Hyppa,rectilinea,Hyppa rectilinea,0,ex,x 1974,–,,KWB,3,⬤,,Heidelbeer-Stricheule
Noctuidae,,"Agrochola HÜBNER, 1821","ruticilla (ESPER, 1791)",Agrochola,ruticilla,Agrochola ruticilla,0,ex,x 1954,–,,EW (WRS),1,⬤,§§,Graubraune Eichenbuscheule
Noctuidae,,"Lithophane HÜBNER, 1821","semibrunnea (HAWORTH, 1809)",Lithophane,semibrunnea,Lithophane semibrunnea,0,ex,x 1953,–,,?BW,3,⬤,,Schmalflügelige Holzeule
Noctuidae,,"Lithophane HÜBNER, 1821","lamda (FABRICIUS, 1787)",Lithophane,lamda,Lithophane lamda,0,ex,x vor 1900,–,,ZM,1,⬤,§§,Gagelstrauch-Moor-Holzeule
Noctuidae,,"Xylena OCHSENHEIMER, 1816","solidaginis (HÜBNER, 1803)",Xylena,solidaginis,Xylena solidaginis,0,ex,x 1965,–,,"KWB, ZM",*,⬤,,Rollflügel-Holzeule
Noctuidae,,"Cosmia OCHSENHEIMER, 1816","diffinis (LINNAEUS, 1767)",Cosmia,diffinis,Cosmia diffinis,0,ex,x 1969,–,,Auwälder,2,⬤,,Weißflecken-Ulmeneule
Noctuidae,,"Dicycla GUENEE, 1852","oo (LINNAEUS, 1758)",Dicycla,oo,Dicycla oo,0,ex,x vor 1900,–,,EW,3,⬤,,Eichen-Nulleneule
Noctuidae,,"Aporophyla GUENEE, 1841","nigra (HAWORTH, 1809)",Aporophyla,nigra,Aporophyla nigra,0,ex,x vor 1900,–,,"CH, BGH",2,⬤,§§,Schwarze Glattrückeneule
Noctuidae,,"Polymixis HÜBNER, 1820","polymita (LINNAEUS, 1761)",Polymixis,polymita,Polymixis polymita,0,ex,x vor 1900,–,,?,1,o,,Olivbraune Steineule
Noctuidae,,"Polymixis HÜBNER, 1820","flavicincta (DEN. & SCHIFF., 1775)",Polymixis,flavicincta,Polymixis flavicincta,♦,ex,x vor 1982 (?E),–,,VG?,1,⬤,,Gelbliche Steineule
Noctuidae,,"Mniotype FRANCLEMONT, 1941","adusta (ESPER, 1790)",Mniotype,adusta,Mniotype adusta,0,ex,x 1950,–,,"CH, WS, LKW",3,⬤,,Rotbraune Waldrandeule
Noctuidae,,"Orthosia OCHSENHEIMER, 1816","opima (HÜBNER, 1809)",Orthosia,opima,Orthosia opima,0,ex,x 1980,–,,KWB,3,⬤,,Opima-Kätzcheneule
Noctuidae,,"Coranarta HACKER, 1998","cordigera (THUNBERG, 1788)",Coranarta,cordigera,Coranarta cordigera,0,ex,x 1956,–,,ZM,1,⬤,,Moor-Bunteule
Noctuidae,,"Lacanobia BILLBERG, 1820","aliena (HÜBNER, 1808)",Lacanobia,aliena,Lacanobia aliena,0,ex,x vor 1900,–,,CH,3,⬤,,Trockenrasen-Kräutereule
Noctuidae,,"Papestra SUKHAREVA, 1973","biren (GOEZE, 1781)",Papestra,biren,Papestra biren,0,ex,x 1959,–,,KWB,V,⬤,,Moorwald-Blättereule
Noctuidae,,"Hadena SCHRANK, 1802","confusa (HUFNAGEL, 1766)",Hadena,confusa,Hadena confusa,0,ex,x 1940,–,,TR,3,⬤,,Marmorierte Nelkeneule
Noctuidae,,"Hadena SCHRANK, 1802","irregularis (HUFNAGEL, 1766)",Hadena,irregularis,Hadena irregularis,0,ex,x vor 1900,–,,TR,1,⬤,,Gipskraut-Nelkeneule
Noctuidae,,"Actebia STEPHENS, 1829","praecox (LINNAEUS, 1758)",Actebia,praecox,Actebia praecox,0,ex,x 1978,–,,TR,1,⬤,,Grünliche Erdeule
Noctuidae,,"Euxoa HÜBNER, 1821","cursoria (HUFNAGEL, 1766)",Euxoa,cursoria,Euxoa cursoria,0,ex,x vor 1900,–,,"TR, SGF",2,⬤,,Veränderliche Dünen-Erdeule
Noctuidae,,"Euxoa HÜBNER, 1821","aquilina (DEN. & SCHIFF., 1775)",Euxoa,aquilina,Euxoa aquilina,0,ex,x 1977,–,,"TR, AF",*,⬤,,Getreideeule
Noctuidae,,"Agrotis OCHSENHEIMER, 1816","cinerea (DEN. & SCHIFF., 1775)",Agrotis,cinerea,Agrotis cinerea,0,ex,x 1974,–,,"WS, CH",3,⬤,,Aschgraue Erdeule
Noctuidae,,"Diarsia HÜBNER, 1821","dahlii (HÜBNER, 1813)",Diarsia,dahlii,Diarsia dahlii,0,ex,x vor 1900,–,,"ZM, MW",1,o,,Moorwiesen-Erdeule
Noctuidae,,"Violaphotia BECK, 1991","molothina (ESPER, 1789)",Violaphotia,molothina,Violaphotia molothina,0,ex,x vor 1900,–,,CH,3,⬤,,Graue Heidekrauteule
Noctuidae,,"Opigena BOISDUVAL, 1840","polygona (DEN. & SCHIFF., 1775)",Opigena,polygona,Opigena polygona,0,ex,x,x 1991,declining,WRS?,*,⬤,,Vielwinkel-Bodeneule
Noctuidae,,"Xestia HÜBNER, 1818","stigmatica (HÜBNER, 1813)",Xestia,stigmatica,Xestia stigmatica,0,ex,x vor 1900,–,,BuW,*,⬤,,Rhombus-Bodeneule
Noctuidae,,"Xestia HÜBNER, 1818","castanea (ESPER, 1798)",Xestia,castanea,Xestia castanea,0,ex,x vor 1900,–,,CH,3,⬤,,Ginsterheiden-Bodeneule
Noctuidae,,"Xestia HÜBNER, 1818","ashworthii (DOUBLEDAY, 1855)",Xestia,ashworthii,Xestia ashworthii,0,ex,x vor 1900,–,,"WRS, WS",2,⬤,,Aschgraue Bodeneule
Noctuidae,,"Eugraphe HÜBNER, 1821","sigma (DEN. & SCHIFF., 1775)",Eugraphe,sigma,Eugraphe sigma,0,ex,x vor 1900,–,,KWB,2,⬤,,Sigma-Bodeneule
Noctuidae,,"Protolampra MCDUNNOUGH, 1929","sobrina (DUPONCHEL, 1843)",Protolampra,sobrina,Protolampra sobrina,0,ex,x vor 1900,–,,"CH, KWB",2,⬤,,Heidemoor-Bodeneule
