Gattung,Artname,BE,Bestand,Vor_1990,1990_2017,Trend_kurz,Habitat,D,BB,GS,Deutscher_name
"Papestra SUKHAREVA, 1973","biren (GOEZE, 1781)",0,ex,x 1959,–,,KWB,V,⬤,,Moorwald-Blättereule
"Hadena SCHRANK, 1802","confusa (HUFNAGEL, 1766)",0,ex,x 1940,–,,TR,3,⬤,,Marmorierte Nelkeneule
"Hadena SCHRANK, 1802","irregularis (HUFNAGEL, 1766)",0,ex,x vor 1900,–,,TR,1,⬤,,Gipskraut-Nelkeneule
"Actebia STEPHENS, 1829","praecox (LINNAEUS, 1758)",0,ex,x 1978,–,,TR,1,⬤,,Grünliche Erdeule
"Euxoa HÜBNER, 1821","cursoria (HUFNAGEL, 1766)",0,ex,x vor 1900,–,,"TR, SGF",2,⬤,,Veränderliche Dünen-Erdeule
"Euxoa HÜBNER, 1821","aquilina (DEN. & SCHIFF., 1775)",0,ex,x 1977,–,,"TR, AF",*,⬤,,Getreideeule
"Agrotis OCHSENHEIMER, 1816","cinerea (DEN. & SCHIFF., 1775)",0,ex,x 1974,–,,"WS, CH",3,⬤,,Aschgraue Erdeule
"Diarsia HÜBNER, 1821","dahlii (HÜBNER, 1813)",0,ex,x vor 1900,–,,"ZM, MW",1,o,,Moorwiesen-Erdeule
"Violaphotia BECK, 1991","molothina (ESPER, 1789)",0,ex,x vor 1900,–,,CH,3,⬤,,Graue Heidekrauteule
"Opigena BOISDUVAL, 1840","polygona (DEN. & SCHIFF., 1775)",0,ex,x,x 1991,declining,WRS?,*,⬤,,Vielwinkel-Bodeneule
"Xestia HÜBNER, 1818","stigmatica (HÜBNER, 1813)",0,ex,x vor 1900,–,,BuW,*,⬤,,Rhombus-Bodeneule
"Xestia HÜBNER, 1818","castanea (ESPER, 1798)",0,ex,x vor 1900,–,,CH,3,⬤,,Ginsterheiden-Bodeneule
"Xestia HÜBNER, 1818","ashworthii (DOUBLEDAY, 1855)",0,ex,x vor 1900,–,,"WRS, WS",2,⬤,,Aschgraue Bodeneule
"Eugraphe HÜBNER, 1821","sigma (DEN. & SCHIFF., 1775)",0,ex,x vor 1900,–,,KWB,2,⬤,,Sigma-Bodeneule
"Protolampra MCDUNNOUGH, 1929","sobrina (DUPONCHEL, 1843)",0,ex,x vor 1900,–,,"CH, KWB",2,⬤,,Heidemoor-Bodeneule
