Species,BE,Bestand,Trend_lang,Trend_kurz,RF,BB,D
Abrothallus parmeliarum (SOMMERF.) ARNOLD,0,ex,,,,0,*
Scutula miliaris (WALLR.) TREVISAN,0,ex,,,,0,1
