Wissenschaftlicher Name,BE,BB,DE,GS,Vorzugshabitate,Ökol_Typ,Gefährdungsursachen
Oxybelus uniglumis (LINNAEUS),0,-,-,,"R, GT, WG, 
AT",en,2a?
Stizus perrisii DUFOUR,0,0,0,,GT?,en,"1a, 2a?, 8a, 
8e, 14a?"
"Tachysphex panzeri (VANDER 
LINDEN)*",0,2,2,,AD,en,"2a, 12a, 8d, 
14a"
Andrena chrysopyga SCHENCK,0,2,2,§,"GT, H",en,"1a, 2a, 6d, 7a, 
8a, 14a"
Andrena gelriae VANDER VECHT*,0,3,3,§,"GT, WG",en,"2a, 6d, 7a, 8a"
Andrena lathyri ALFKEN,0,G,-,§,"R, GT",en,"1a, 2a, 6d, 7a, 
8a, 14a"
Andrena marginata FABRICIUS,0,0,2,§,"GF, GT",en,"1a, 2a, 6d, 7a, 
8a, 14a"
Andrena morio BRULLÉ*,0,0,1,§,"R, GT, AD",en,"1a, 2a, 6d, 7a, 
8a, 8d, 14a"
Andrena nasuta GIRAUD,0,2,2,§,"R, AT",en,"1a, 2a"
"Anthophora quadrifasciata (VIL-
LERS)*",0,0,1,§,"R, AT, AW",en,"1a, 2a, 12a, 
14a"
Bombus barbutellus (KIRBY)*,0,0,-,§,"G, WG, P",par,2a?
Bombus confusus SCHENCK,0,2,2,§,GT,en/hy,"1a, 2a, 8a, 8e, 
14a"
Bombus jonellus (KIRBY)*,0,2,3,§,"MA, MM, H",en/hy,"1a, 2a, 8, 14a"
Bombus pomorum (PANZER),0,1,2,§,"G, WG",en,"1a, 2a"
Bombus ruderatus (FABRICIUS)*,0,G,G,§,G,en,"1a, 2a, 6d, 8a, 
8e"
Coelioxys brevis EVERSMANN,0,2,2,§,"AD, AT",par,"1a, 2a, 8d, 
12a, 14a, 14g"
Colletes caspicus F. MORAWITZ*,0,0,0,§,?,en,"1a?, 2a?, 14a?"
Dufourea dentiventris (NYLANDER,0,0,3,§,"GT, WG",en,2a
Eucera macroglossa ILLIGER,0,0,2,§,R,en,"1a, 2a, 8e, 14a"
Eucera nigrescens PÉREZ,0,G,-,§,"GM, GT",en,"1a, 2a, 14a"
Eucera salicariae (LEPELETIER),0,1,3,§,"GT, GF, 
GSF, AT",en,"1a, 6a, 8c, 
12c, 14a"
Halictus eurygnathus BLÜTHGEN,0,0,-,§,"R, GT, AT",en,"1a, 2a, 7a?, 8?"
Hylaeus difformis (EVERSMANN),0,G,-,§,"R, WG, AD, 
AT, AW",en/hy,"2a, 12a"
Hylaeus pfankuchi (ALFKEN)*,0,G,G,§,"FR?, SR",hy,"2a, 3b, 12c, 
14a"
"Lasioglossum costulatum 
(KRIECHBAUMER)*",0,3,3,§,"R, GT, WG, 
AT",en,"2a, 6d"
"Lasioglossum interruptum (PAN-
ZER)",0,0,3,§,"R, GT",en,"1a, 2a, 6d, 7a, 
8a, 14a"
Lasioglossum laeve (KIRBY),0,0,2,§,"R, GT",en,"1a, 2a, 6d, 7a, 
8a, 14a"
Lasioglossum lineare (SCHENCK),0,3,3,§,"R, GT, AT",en,"1a, 2a, 6d, 7a, 
8a, 14a"
"Lasioglossum prasinum (F. 
SMITH)*",0,1,2,§,"H, AD",en,"1a, 2a, 8d, 
12a, 14a"
Megachile apicalis SPINOLA,0,0,2,§,"R, GT, AT, 
AW",en/hy,"1a, 2a, 12a, 
14a"
Megachile lagopoda (LINNAEUS),0,3,2,§,"GT, AT, AW",en,"2a, 12a, 14a"
"Nomada distinguenda F. MORA-
WITZ",0,0,G,§,"R, GT, AT",par,2a?
Nomada femoralis F. MORAWITZ,0,V,G,§,"GT, H, WG, 
AT",par,"2a, 14g"
Nomada guttulata SCHENCK,0,G,G,§,"GT, B",par,"2a, 14g"
Nomada rhenana F. MORAWITZ,0,0,G,§,"R, GT, AT",par,"2a?, 14a?"
Osmia pilicornis F. SMITH,0,0,2,§,"W, WG",hy,"2a, 12b"
Stelis phaeoptera (KIRBY)*,0,3,3,§,"R, B, WG",par,"2a, 12b, 14g"
Thyreus histrionicus (ILLIGER),0,0,0,§,"AT, AW",par,"2a, 12a, 14a, 
14g"
Xylocopa violacea (LINNAEUS),0,D,V,§,"B, WG",hy,"2a, 12b"
