Species,BE,Bestand,Trend_lang,Trend_kurz,RF,BB,D,GfU,Letzter_Nachweis,Neozoon
"Berytinus hirticornis (BRULLÉ, 1836)",0,ex,,,,1,3,,1952,
"Metatropis rufescens (HERRICH-SCHAEFFER, 1835)",0,ex,,,,,,,um 1900,
"Coriomeris denticulatus (SCOPOLI, 1763)",0,ex,,,,1,,"2a, 7d",1988,
"Nemocoris fallenii R.F. Sahlberg, 1848",0,ex,,,,0,1,14d,vor 1881,
"Rhopalus maculatus (FIEBER, 1837)",0,ex,,,,4,,"14a, 14g",1989,
"Rhopalus rufus SCHILLING, 1829",0,ex,,,,3,G,"2a, 14d",1921,
"Cydnus aterrimus (FORSTER, 1771)",0,ex,,,,,,"2a, 14a",1988,
"Legnotus picipes (FALLÉN, 1807)",0,ex,,,,4,,12a,1982,
"Odontoscelis fuliginosa (LINNAEUS, 1761)",0,ex,,,,4,,"12a, 14a",1987,
"Odontoscelis lineola RAMBUR, 1839",0,ex,,,,4,,14a,1932,
"Aelia rostrata BOHEMAN, 1852",0,ex,,,,0,0,"7a, 8a, 14a",vor 1971,
"Chlorochroa juniperina (LINNAEUS, 1758)",0,ex,,,,,,14a,vor 1911,
"Eurydema dominulus (SCOPOLI, 1763)",0,ex,,,,1,,,1952,
"Eysarcoris venustissimus (SCHRANK, 1776)",0,ex,,,,,,,1959,
"Jalla dumosa (LINNAEUS, 1758)",0,ex,,,,,,14a,1930,
"Palomena viridissima (PODA, 1761)",0,ex,,,,3,,14b,1954,
"Sciocoris umbrinus (WOLFF, 1804)",0,ex,,,,4,3,"12a, 14a",1971–1991,
"Zicrona caerulea (LINNAEUS, 1758)",0,ex,,,,,,,1977,
